timestamp	db	tiempodejuego	average
01/07/2014 14:30:01	87.20	68:00	90.45
01/07/2014 14:30:11	86.50	68:10	83.70
01/07/2014 14:30:21	84.80	68:20	85.18
01/07/2014 14:30:31	85.50	68:30	84.40
01/07/2014 14:30:41	86.40	68:40	84.08
01/07/2014 14:30:51	85.10	68:50	82.74
01/07/2014 14:31:01	83.60	69:00	86.91
01/07/2014 14:31:11	85.40	69:10	92.03
01/07/2014 14:31:21	88.20	69:20	84.55
01/07/2014 14:31:31	83.10	69:30	82.43
01/07/2014 14:31:41	84.90	69:40	83.47
01/07/2014 14:31:51	85.20	69:50	84.13
01/07/2014 14:32:01	87.50	70:00	83.56
01/07/2014 14:32:11	83.70	70:10	85.55
01/07/2014 14:32:21	90.60	70:20	87.19
01/07/2014 14:32:31	87.80	70:30	87.43
01/07/2014 14:32:41	84.30	70:40	83.67
01/07/2014 14:32:51	83.50	70:50	83.08
01/07/2014 14:33:01	84.30	71:00	84.18
01/07/2014 14:33:11	85.90	71:10	84.39
01/07/2014 14:33:21	84.70	71:20	83.40
01/07/2014 14:33:31	86.40	71:30	84.39
01/07/2014 14:33:41	86.80	71:40	85.96
01/07/2014 14:33:51	84.50	71:50	100.21
01/07/2014 14:34:01	97.20	72:00	93.75
01/07/2014 14:34:11	90.50	72:10	88.08
01/07/2014 14:34:21	87.60	72:20	89.29
01/07/2014 14:34:31	95	72:30	95.34
01/07/2014 14:34:41	91.40	72:40	85.94
01/07/2014 14:34:51	85.60	72:50	85.51
01/07/2014 14:35:01	84.70	73:00	85.23
01/07/2014 14:35:11	83.90	73:10	84.61
01/07/2014 14:35:21	86.30	73:20	84.82
01/07/2014 14:35:31	86	73:30	86.63
01/07/2014 14:35:41	85.80	73:40	83.92
01/07/2014 14:35:51	83.70	73:50	82.37
01/07/2014 14:36:01	83.80	74:00	84.06
01/07/2014 14:36:11	82	74:10	84.61
01/07/2014 14:36:21	85.80	74:20	85.70
01/07/2014 14:36:31	89.10	74:30	85.71
01/07/2014 14:36:41	84.90	74:40	87.73
01/07/2014 14:36:51	87	74:50	87.97
01/07/2014 14:37:01	85.50	75:00	90.56
01/07/2014 14:37:11	94.40	75:10	84.81
01/07/2014 14:37:21	83.20	75:20	84.60
01/07/2014 14:37:31	83.20	75:30	83.88
01/07/2014 14:37:41	83.50	75:40	91.57
01/07/2014 14:37:51	85.20	75:50	88.27
01/07/2014 14:38:01	85.10	76:00	83.47
01/07/2014 14:38:11	78.30	76:10	83.21
01/07/2014 14:38:21	94.40	76:20	85.97
01/07/2014 14:38:31	82.10	76:30	83.89
01/07/2014 14:38:41	82.60	76:40	84.74
01/07/2014 14:38:51	87.90	76:50	83.78
01/07/2014 14:39:01	82.70	77:00	83.22
01/07/2014 14:39:11	80.70	77:10	83.21
01/07/2014 14:39:21	83.90	77:20	89.29
01/07/2014 14:39:31	94.30	77:30	87.38
01/07/2014 14:39:41	88.20	77:40	83.64
01/07/2014 14:39:51	81.90	77:50	81.74
01/07/2014 14:40:01	82.70	78:00	82.06
01/07/2014 14:40:11	85.20	78:10	82.67
01/07/2014 14:40:21	83.80	78:20	82.51
01/07/2014 14:40:31	85.50	78:30	90.08
01/07/2014 14:40:41	90.80	78:40	88.89
01/07/2014 14:40:51	87.40	78:50	87.41
01/07/2014 14:41:01	84.10	79:00	83.88
01/07/2014 14:41:11	84	79:10	90.98
01/07/2014 14:41:21	86.80	79:20	84.96
01/07/2014 14:41:31	81.30	79:30	85.17
01/07/2014 14:41:41	85.70	79:40	85.12
01/07/2014 14:41:51	83.20	79:50	84.97
01/07/2014 14:42:01	82.30	80:00	85.41
01/07/2014 14:42:11	81.30	80:10	84.56
01/07/2014 14:42:21	84.40	80:20	84.60
01/07/2014 14:42:31	86.70	80:30	88.71
01/07/2014 14:42:41	83.20	80:40	87.31
01/07/2014 14:42:51	87.60	80:50	85.22
01/07/2014 14:43:01	84.70	81:00	84.29
01/07/2014 14:43:11	81.70	81:10	84.02
01/07/2014 14:43:21	83.50	81:20	84.28
01/07/2014 14:43:31	85.50	81:30	86.94
01/07/2014 14:43:41	83.90	81:40	84.14
01/07/2014 14:43:51	80	81:50	84.01
01/07/2014 14:44:01	82.60	82:00	83.81
01/07/2014 14:44:11	85	82:10	84.68
01/07/2014 14:44:21	85.20	82:20	85.38
01/07/2014 14:44:31	85	82:30	85.79
01/07/2014 14:44:41	90.50	82:40	86.26
01/07/2014 14:44:51	83.50	82:50	85.04
01/07/2014 14:45:01	85.10	83:00	84.84
01/07/2014 14:45:11	84.90	83:10	84.61
01/07/2014 14:45:21	86.10	83:20	85.34
01/07/2014 14:45:31	91.40	83:30	102.04
01/07/2014 14:45:41	94.20	83:40	89.81
01/07/2014 14:45:51	86.70	83:50	88.29
01/07/2014 14:46:01	90.30	84:00	90.48
01/07/2014 14:46:11	87.80	84:10	85.43
01/07/2014 14:46:21	84.30	84:20	83.44
01/07/2014 14:46:31	86	84:30	85.93
01/07/2014 14:46:41	86.50	84:40	86.28
01/07/2014 14:46:51	87.20	84:50	85.23
01/07/2014 14:47:01	85.70	85:00	85.77
01/07/2014 14:47:11	85	85:10	84.99
01/07/2014 14:47:21	86.50	85:20	83.19
01/07/2014 14:47:31	82.70	85:30	83.55
01/07/2014 14:47:41	83.60	85:40	84.43
01/07/2014 14:47:51	85.30	85:50	82.85
01/07/2014 14:48:01	84.80	86:00	86.67
01/07/2014 14:48:11	85.60	86:10	82.34
01/07/2014 14:48:21	86.40	86:20	83.47
01/07/2014 14:48:31	81.50	86:30	81.96
01/07/2014 14:48:41	79.40	86:40	84.03
01/07/2014 14:48:51	83.90	86:50	84.81
01/07/2014 14:49:01	85.10	87:00	82.75
01/07/2014 14:49:11	82.10	87:10	83.61
01/07/2014 14:49:21	86	87:20	83.97
01/07/2014 14:49:31	84.40	87:30	84.12
01/07/2014 14:49:41	84.90	87:40	84.86
01/07/2014 14:49:51	88.50	87:50	85.84
01/07/2014 14:50:01	86	88:00	81.49
01/07/2014 14:50:11	83	88:10	82.42
01/07/2014 14:50:21	79.20	88:20	81.83
01/07/2014 14:50:31	84.20	88:30	85.10
01/07/2014 14:50:41	88.40	88:40	82.97
01/07/2014 14:50:51	80.40	88:50	82.03
01/07/2014 14:51:01	83.70	89:00	83.24
01/07/2014 14:51:11	80	89:10	83.20
01/07/2014 14:51:21	84.50	89:20	81.11
01/07/2014 14:51:31	82.80	89:30	84.34
01/07/2014 14:51:41	91.70	89:40	89.14
01/07/2014 14:51:51	82.50	89:50	82.59
01/07/2014 14:52:01	82.60	90:00	81.10
01/07/2014 14:52:11	84.60	90:10	82.40
01/07/2014 14:52:21	82.80	90:20	81.23
01/07/2014 14:52:31	79.70	90:30	81.33
01/07/2014 14:52:41	83.30	90:40	82.16
01/07/2014 14:52:51	80.30	90:50	80.83
01/07/2014 14:53:01	86.40	91:00	82.33
01/07/2014 14:55:07	82.50	90:00	84.78
01/07/2014 14:55:17	88.80	90:10	82.84
01/07/2014 14:55:27	79.10	90:20	85.90
01/07/2014 14:55:37	96	90:30	90.48
01/07/2014 14:55:47	92.20	90:40	84.43
01/07/2014 14:55:57	83.60	90:50	82.90
01/07/2014 14:56:07	82.70	91:00	84.31
01/07/2014 14:56:17	90.80	91:10	83.84
01/07/2014 14:56:27	80.50	91:20	83.28
01/07/2014 14:56:37	97.10	91:30	86.73
01/07/2014 14:56:47	89.10	91:40	83.96
01/07/2014 14:56:57	82.10	91:50	82.90
