decibeles,minutosPartido
"85,20",65:00
"84,40",65:01
"83,00",65:02
"84,10",65:03
"85,50",65:04
"84,40",65:05
"82,80",65:06
"85,60",65:07
"84,30",65:08
"83,40",65:09
"84,40",65:10
"85,20",65:11
"84,60",65:12
"82,00",65:13
"84,00",65:15
"82,60",65:15
"84,30",65:16
"84,00",65:17
"83,40",65:18
"84,00",65:19
"83,00",65:20
"84,30",65:21
"82,90",65:22
"81,70",65:24
"84,20",65:24
"80,90",65:25
"84,20",65:26
"84,20",65:27
"83,10",65:28
"86,70",65:29
"84,60",65:30
"82,50",65:31
"84,80",65:32
"82,40",65:33
"83,70",65:34
"83,80",65:35
"84,80",65:36
"85,00",65:37
"83,40",65:38
"86,40",65:39
"86,10",65:40
"94,30",65:41
"91,30",65:42
"87,40",65:43
"82,80",65:44
"85,00",65:45
"85,90",65:46
"78,20",65:47
"82,50",65:48
"80,70",65:49
"83,00",65:50
"82,30",65:51
"84,40",65:52
"82,50",65:53
"84,40",65:54
"80,20",65:55
"82,30",65:56
"84,50",65:57
"83,40",65:58
"80,70",66:00
"80,70",66:00
"85,60",66:01
"85,80",66:02
"84,80",66:03
"85,50",66:04
"82,30",66:05
"85,10",66:06
"81,80",66:07
"85,60",66:09
"80,50",66:09
"84,60",66:10
"87,00",66:11
"86,00",66:12
"83,00",66:13
"80,40",66:14
"86,40",66:15
"85,60",66:16
"85,80",66:17
"89,10",66:18
"85,70",66:19
"86,90",66:20
"84,70",66:21
"84,60",66:22
"83,70",66:23
"86,70",66:24
"87,20",66:25
"85,80",66:26
"87,40",66:27
"85,50",66:28
"85,00",66:29
"84,60",66:30
"84,90",66:31
"79,50",66:32
"85,40",66:33
"80,30",66:34
"85,00",66:35
"85,20",66:36
"79,90",66:37
"82,70",66:38
"82,20",66:39
"79,10",66:40
"84,50",66:41
"82,20",66:42
"85,10",66:43
"80,30",66:45
"82,60",66:45
"85,70",66:46
"86,10",66:47
"87,50",66:48
"87,20",66:49
